State,Location,Latitude,Longitude
Andaman and Nicobar Islands,Bamboo Flat,11.70,92.72
Andaman and Nicobar Islands,Nicobar,7.03,93.79
Andaman and Nicobar Islands,Port Blair,11.67,92.75
Andaman and Nicobar Islands,South Andaman,10.76,92.52
Andhra Pradesh,Addanki,15.81,79.97
Andhra Pradesh,Adoni,15.63,77.27
Andhra Pradesh,Akasahebpet,17.50,82.57
Andhra Pradesh,Akividu,16.58,81.38
Andhra Pradesh,Akkarampalle,13.65,79.42
Andhra Pradesh,Amalapuram,16.58,82.01
Andhra Pradesh,Amudalavalasa,18.41,83.90
Andhra Pradesh,Anakapalle,17.69,83.00
Andhra Pradesh,Anantapur,14.55,77.42
Andhra Pradesh,Atmakur,15.88,78.59
Andhra Pradesh,Attili,16.70,81.60
Andhra Pradesh,Avanigadda,16.02,80.92
Andhra Pradesh,Badvel,14.75,79.06
Andhra Pradesh,Banganapalle,15.32,78.23
Andhra Pradesh,Bapatla,15.90,80.47
Andhra Pradesh,Betamcherla,15.45,78.15
Andhra Pradesh,Bhattiprolu,16.10,80.78
Andhra Pradesh,Bhimavaram,16.54,81.52
Andhra Pradesh,Bhimunipatnam,17.89,83.45
Andhra Pradesh,Bobbili,18.57,83.36
Andhra Pradesh,Challapalle,16.12,80.93
Andhra Pradesh,Chemmumiahpet,15.90,79.32
Andhra Pradesh,Chilakalurupet,16.09,80.17
Andhra Pradesh,Chinnachowk,14.48,78.84
Andhra Pradesh,Chipurupalle,18.31,83.57
Andhra Pradesh,Chirala,15.82,80.35
Andhra Pradesh,Chittoor,13.42,79.00
Andhra Pradesh,Chodavaram,17.83,82.94
Andhra Pradesh,Cuddapah,14.42,78.75
Andhra Pradesh,Cumbum,15.58,79.11
Andhra Pradesh,Darsi,15.77,79.68
Andhra Pradesh,Dharmavaram,14.41,77.72
Andhra Pradesh,Dhone,15.40,77.87
Andhra Pradesh,Diguvametta,15.40,78.83
Andhra Pradesh,East Godavari,17.83,81.83
Andhra Pradesh,Elamanchili,17.55,82.86
Andhra Pradesh,Ellore,16.71,81.10
Andhra Pradesh,Emmiganur,15.77,77.48
Andhra Pradesh,Erraguntla,14.64,78.54
Andhra Pradesh,Etikoppaka,17.50,82.73
Andhra Pradesh,Gajuwaka,17.70,83.22
Andhra Pradesh,Ganguvada,18.67,84.12
Andhra Pradesh,Gannavaram,16.54,80.80
Andhra Pradesh,Giddalur,15.37,78.93
Andhra Pradesh,Gokavaram,17.26,81.85
Andhra Pradesh,Gorantla,13.98,77.77
Andhra Pradesh,Govindapuram,16.15,80.10
Andhra Pradesh,Gudivada,16.44,81.00
Andhra Pradesh,Gudlavalleru,16.35,81.05
Andhra Pradesh,Gudur,14.15,79.85
Andhra Pradesh,Guntakal Junction,15.17,77.36
Andhra Pradesh,Guntur,16.30,80.46
Andhra Pradesh,Hindupur,13.83,77.49
Andhra Pradesh,Ichchapuram,19.11,84.69
Andhra Pradesh,Jaggayyapeta,16.89,80.10
Andhra Pradesh,Jammalamadugu,14.85,78.38
Andhra Pradesh,Kadiri,14.11,78.16
Andhra Pradesh,Kaikalur,16.55,81.21
Andhra Pradesh,Kakinada,16.96,82.24
Andhra Pradesh,Kalyandurg,14.55,77.11
Andhra Pradesh,Kamalapuram,14.60,78.67
Andhra Pradesh,Kandukur,15.22,79.90
Andhra Pradesh,Kanigiri,15.41,79.51
Andhra Pradesh,Kankipadu,16.44,80.77
Andhra Pradesh,Kanuru,16.29,81.25
Andhra Pradesh,Kavali,14.92,79.99
Andhra Pradesh,Kolanukonda,16.45,80.61
Andhra Pradesh,Kondapalle,16.62,80.54
Andhra Pradesh,Korukollu,16.50,81.25
Andhra Pradesh,Kosigi,15.86,77.24
Andhra Pradesh,Kovvur,17.02,81.73
Andhra Pradesh,Krishna,16.67,81.00
Andhra Pradesh,Kuppam,12.75,78.34
Andhra Pradesh,Kurnool,15.58,78.33
Andhra Pradesh,Macherla,16.48,79.44
Andhra Pradesh,Machilipatnam,16.19,81.14
Andhra Pradesh,Madanapalle,13.55,78.50
Andhra Pradesh,Madugula,17.92,82.82
Andhra Pradesh,Mandapeta,16.86,81.93
Andhra Pradesh,Mandasa,18.87,84.46
Andhra Pradesh,Mangalagiri,16.43,80.57
Andhra Pradesh,Markapur,15.74,79.27
Andhra Pradesh,Nagari,13.32,79.59
Andhra Pradesh,Nagireddipalli,14.27,79.10
Andhra Pradesh,Nandigama,16.77,80.29
Andhra Pradesh,Nandikotkur,15.86,78.27
Andhra Pradesh,Nandyal,15.48,78.48
Andhra Pradesh,Narasannapeta,18.41,84.04
Andhra Pradesh,Narasapur,16.43,81.70
Andhra Pradesh,Narasaraopet,16.23,80.05
Andhra Pradesh,Narasingapuram,13.61,79.32
Andhra Pradesh,Narayanavanam,13.43,79.59
Andhra Pradesh,Narsipatnam,17.67,82.61
Andhra Pradesh,Nayudupet,13.91,79.89
Andhra Pradesh,Nellore,14.08,79.58
Andhra Pradesh,Nidadavole,16.91,81.67
Andhra Pradesh,Nuzvid,16.79,80.85
Andhra Pradesh,Ongole,15.50,80.04
Andhra Pradesh,Pakala,13.45,79.11
Andhra Pradesh,Palakollu,16.52,81.73
Andhra Pradesh,Palasa,18.77,84.41
Andhra Pradesh,Palkonda,18.60,83.76
Andhra Pradesh,Pallevada,16.58,81.29
Andhra Pradesh,Palmaner,13.20,78.75
Andhra Pradesh,Parlakimidi,18.78,84.09
Andhra Pradesh,Parvatipuram,18.78,83.43
